"","street","zipcode","price","PublishedDate","buildKind","ConstructionYear","LivingArea","ExStorage","LotArea","Volume","Rooms","Bathrooms","Levels","EnergyLable","Insulation","Heating","Location","Garden","GardenArea","GardenAim","Storage"
"200","
        
              Bernadottelaan 249
        
            ","
            2037 GR Haarlem

        ","
    € 435.000 kosten koper
        
            
        
","17-4-2021","
    Bestaande bouw
","
    2009
        
            
        
","
    126 m²
","
    5 m²
","
    103 m²
","
    103 m²
,
    479 m³
","
    5 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel en warmte terugwininstallatie
","
    In woonwijk
","
    Achtertuin en zonneterras
","
    52 m² (10,87 meter diep en 4,79 meter breed)
","
    Gelegen op het oosten bereikbaar via achterom
","
    Vrijstaande houten berging
"
"201","
        
              Kruisstraat 46
        
            ","
            5249 PA Rosmalen

        ","
    € 350.000 kosten koper
        
            
        
","9-4-2021","
    Bestaande bouw
","
    1930
        
            
        
","
    148 m²
","
    50 m²
,
    5 m²
","
    340 m²
","
    340 m²
,
    648 m³
","
    6 kamers (4 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Gedeeltelijk dubbel glas
","
    Cv-ketel
","
    Achtertuin, voortuin en zijtuin
","
    66 m² (6 meter diep en 11 meter breed)
","
    Gelegen op het noorden bereikbaar via achterom
",NA,"
    Vrijstaande houten berging
"
"202","
        
              Lannerstraat 14
        
            ","
            5011 ET Tilburg

        ","
    € 450.000 kosten koper
        
            
        
","6-4-2021","
    Bestaande bouw
","
    1999
        
            
        
","
    203 m²
","
    6 m²
,
    17 m²
","
    298 m²
","
    298 m²
,
    690 m³
","
    5 kamers (4 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    3 woonlagen
","
        B
        
             Wat betekent dit?
","
    Grotendeels dubbelglas
","
    Cv-ketel
","
    Aan rustige weg
","
    Achtertuin en voortuin
","
    155 m² (15,5 meter diep en 10 meter breed)
","
    Gelegen op het zuiden
","
    Vrijstaande houten berging
"
"203","
        
              Groenstraat 73
        
            ","
            5071 EB Udenhout

        ","
    € 349.500 kosten koper
        
            
        
","23-3-2021","
    Bestaande bouw
","
    1906-1930
        
            
        
","
    94 m²
","
    30 m²
,
    7 m²
,
    34 m²
","
    391 m²
","
    391 m²
,
    444 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen en een zolder
","
        G
        
             Wat betekent dit?
","
    Geen isolatie
","
    Cv-ketel
","
    Aan bosrand, in bosrijke omgeving en in woonwijk
","
    Achtertuin en voortuin
","
    210 m² (35 meter diep en 6 meter breed)
","
    Gelegen op het noordwesten bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"204","
        
              Hendrik Wiegersmalaan 56
        
            ","
            5246 CC Rosmalen

        ","
    € 330.000 kosten koper
        
            
        
","17-3-2021","
    Bestaande bouw
","
    1969
        
            
        
","
    110 m²
","
    3 m²
,
    14 m²
","
    169 m²
","
    169 m²
,
    373 m³
","
    5 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel en open haard
","
    Achtertuin en voortuin
","
    63 m² (10 meter diep en 6,3 meter breed)
","
    Gelegen op het oosten bereikbaar via achterom
",NA,"
    Vrijstaande stenen berging
"
"205","
        
              Amarantstraat 46
        
            ","
            5044 RL Tilburg

        ","
    € 300.000 kosten koper
        
            
        
","16-3-2021","
    Bestaande bouw
","
    1971
        
            
        
","
    148 m²
","
    10 m²
,
    9 m²
","
    133 m²
","
    133 m²
,
    480 m³
","
    9 kamers (6 slaapkamers)
","
    1 badkamer
","
    3 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Achtertuin
","
    49 m² (7,5 meter diep en 6,5 meter breed)
","
    Gelegen op het zuidwesten bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"206","
        
              Hendrick de Keyserstraat 8
        
            ","
            3583 TJ Utrecht

        ","
    € 739.000 kosten koper
        
            
        
","6-3-2021","
    Bestaande bouw
","
    1906
        
            
        
","
    116 m²
","
    11 m²
,
    4 m²
","
    89 m²
","
    89 m²
,
    424 m³
","
    5 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
        D
        
             Wat betekent dit?
","
    Dakisolatie en gedeeltelijk dubbel glas
","
    Cv-ketel
","
    In woonwijk
","
    Achtertuin
","
    38 m² (8,9 meter diep en 4,95 meter breed)
","
    Gelegen op het noordoosten
","
    Vrijstaande houten berging
"
"207","
        
              Kapitein Nemostraat 51
        
            ","
            5015 AL Tilburg

        ","
    € 395.000 kosten koper
        
            
        
","3-3-2021","
    Bestaande bouw
","
    1936
        
            
        
","
    136 m²
","
    62 m²
,
    110 m²
","
    604 m²
","
    604 m²
,
    731 m³
","
    5 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen, een zolder en een kelder
","
        G
        
             Wat betekent dit?
","
    Grotendeels dubbelglas en vloerisolatie
","
    Cv-ketel
","
    Bedrijventerrein en in woonwijk
","
    Plaats
","
    260 m² (45 meter diep en 5 meter breed)
","
    Gelegen op het noordwesten bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"208","
        
              Wanningstraat 203
        
            ","
            8031 ZV Zwolle

        ","
    € 399.000 kosten koper
        
            
        
","4-3-2021","
    Bestaande bouw
","
    2004
        
            
        
","
    147 m²
","
    11 m²
,
    34 m²
","
    178 m²
","
    178 m²
,
    551 m³
","
    5 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    3 woonlagen
","
        B
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    Aan rustige weg, aan water, in woonwijk en vrij uitzicht
","
    Achtertuin, voortuin en zijtuin
","
    21 m² (3 meter diep en 7,05 meter breed)
","
    Gelegen op het zuidwesten bereikbaar via achterom
","
    Inpandig
"
"209","
        
              De Baken 5
        
            ","
            5231 HT Den Bosch

        ","
    € 699.000 kosten koper
        
            
        
","9-2-2021","
    Bestaande bouw
","
    1977
        
            
        
","
    186 m²
","
    5 m²
,
    13 m²
","
    649 m²
","
    649 m²
,
    720 m³
","
    6 kamers (5 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dakisolatie en dubbel glas
","
    Cv-ketel
","
    In woonwijk
","
    Achtertuin
","
    240 m² (12 meter diep en 20 meter breed)
","
    Gelegen op het noorden bereikbaar via achterom
","
    Vrijstaande stenen berging
"
"210","
        
              Erfgenamenweg 12 A
        
            ","
            8026 PR Zwolle

        ","
    € 798.000 kosten koper
        
            
        
","17-12-2020","
    Bestaande bouw
","
    2007
        
            
        
","
    206 m²
","
    36 m²
,
    9 m²
","
    5.264 m²
","
    5.264 m²
,
    840 m³
","
    7 kamers (4 slaapkamers)
","
    2 woonlagen en een vliering
",NA,"
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel, open haard, gehele vloerverwarming, warmte terugwininstallatie en warmtepomp
","
    Aan rustige weg, beschutte ligging, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht
","
    Tuin rondom en zonneterras
",NA,NA,"
    Aangebouwde houten berging
"
"211","
        
              Harry Jurgenslaan 28
        
            ","
            5056 VT Berkel-Enschot

        ","
    € 695.000 kosten koper
        
            
        
","7-11-2020","
    Bestaande bouw
","
    2000
        
            
        
","
    156 m²
","
    12 m²
,
    18 m²
","
    582 m²
","
    582 m²
,
    619 m³
","
    5 kamers (3 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    Alarminstallatie, dakraam en TV kabel
","
        B
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Achtertuin, voortuin en zijtuin
","
    350 m² (27 meter diep en 15 meter breed)
","
    Gelegen op het zuiden bereikbaar via achterom
","
    Vrijstaande stenen garage
"
"212","
        
              Bosscheweg 53
        
            ","
            5056 KA Berkel-Enschot

        ","
    € 1.295.000 kosten koper
        
            
        
","14-10-2020","
    Bestaande bouw
","
    1973
        
            
        
","
    293 m²
","
    62 m²
,
    308 m²
,
    97 m²
","
    5.725 m²
","
    5.725 m²
,
    1.320 m³
","
    5 kamers (4 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    2 woonlagen
","
        D
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas en vloerisolatie
","
    Gaskachels en heteluchtverwarming
","
    Beschutte ligging, landelijk gelegen en vrij uitzicht
","
    Tuin rondom
","
    Balkon aanwezig
",NA,"
    Vrijstaande houten berging
"
"213","
        
              Dostalstraat 58
        
            ","
            5011 LA Tilburg

        ","
    € 750.000 kosten koper
        
            
        
","24-9-2020","
    Bestaande bouw
","
    1977
        
            
        
","
    180 m²
","
    9 m²
,
    12 m²
,
    70 m²
","
    1.095 m²
","
    1.095 m²
,
    689 m³
","
    5 kamers (4 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas en vloerisolatie
","
    Cv-ketel, gashaard en gedeeltelijke vloerverwarming
","
    Aan rustige weg en in woonwijk
","
    Tuin rondom
","
    Balkon aanwezig
",NA,"
    Vrijstaande stenen garage
"
"214","
        
              Bosscheweg 60
        
            ","
            5015 AE Tilburg

        ","
    € 995.000 kosten koper
        
            
        
","24-7-2020","
    Bestaande bouw
","
    1990
        
            
        
","
    306 m²
","
    46 m²
,
    23 m²
,
    12 m²
","
    2.185 m²
","
    2.185 m²
,
    1.236 m³
","
    6 kamers (3 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel, gashaard en gedeeltelijke vloerverwarming
","
    Tuin rondom
",NA,NA,NA,"
    Vrijstaande houten berging
"
"215","
        
              Singelstraat 9
        
            ","
            4331 SR Middelburg

        ","
    € 1.450.000 kosten koper
        
            
        
","29-6-2020","
    Bestaande bouw
","
    1716
        
            
        
","
    469 m²
","
    101 m²
,
    3 m²
","
    395 m²
","
    395 m²
,
    2.316 m³
","
    10 kamers (4 slaapkamers)
","
    2 badkamers en 3 aparte toiletten
","
    3 woonlagen, een zolder en een kelder
","
Niet verplicht","
    Cv-ketel en open haard
","
    Cv-ketel
","
    In centrum
","
    Achtertuin
","
    240 m² (19 meter diep en 9 meter breed)
","
    Gelegen op het noorden
","
    Inpandig
"
"216","
        
              Sint Janstraat 21
        
            ","
            5046 ED Tilburg

        ","
    € 375.000 kosten koper
        
            
        
","19-5-2020","
    Bestaande bouw
","
    1906
        
            
        
","
    155 m²
","
    9 m²
,
    12 m²
,
    77 m²
","
    280 m²
","
    280 m²
,
    560 m³
","
    3 kamers (2 slaapkamers)
","
    2 badkamers
","
    2 woonlagen en een vliering
","
        B
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel
","
    In woonwijk
","
    Achtertuin
","
    35 m² (7 meter diep en 5 meter breed)
","
    Gelegen op het westen bereikbaar via achterom
","
    Garagebox
"
"217","
        
              Brugstraat 4 4A en 6
        
            ","
            5211 VT Den Bosch

        ","
    € 995.000 kosten koper
        
            
        
","2-4-2020","
    Bestaande bouw
","
    1906-1930
        
            
        
","
    290 m²
","
    27 m²
,
    20 m²
","
    141 m²
","
    141 m²
,
    850 m³
","
    9 kamers (6 slaapkamers)
","
    2 badkamers en 1 apart toilet
","
    3 woonlagen
","
Niet beschikbaar","
    Dakisolatie en gedeeltelijk dubbel glas
","
    Cv-ketel
","
    In centrum
","
    Dakterras aanwezig
",NA,NA,"
    Betaald parkeren en parkeervergunningen
"
"218","
        
              Scheldestraat 3
        
            ","
            5215 HA Den Bosch

        ","
    € 300.000 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    1966
        
            
        
","
    104 m²
","
    9 m²
","
    374 m³
","
    374 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 2 aparte toiletten
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan water en in woonwijk
","
    Dakterras aanwezig en balkon aanwezig
",NA,NA,"
    Inpandig
"
"219","
        
              Parcivalring 247
        
            ","
            5221 LE Den Bosch

        ","
    € 385.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    2006
        
            
        
","
    104 m²
","
    15 m²
","
    338 m³
","
    338 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, kierdichting, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    Aan vaarwater, open ligging en vrij uitzicht
",NA,NA,NA,"
    Box
"
"220","
        
              Ooievaarstraat 1
        
            ","
            2025 XM Haarlem

        ","
    € 250.000 kosten koper
        
            
        
","15-5-2021","
    Bestaande bouw
","
    1932
        
            
        
","
    59 m²
","
    21 m²
,
    2 m²
","
    290 m³
","
    290 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        G
        
             Wat betekent dit?
","
    Grotendeels dubbelglas
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Openbaar parkeren
"
"221","
        
              Sandenburg 489
        
            ","
            2036 PM Haarlem

        ","
    € 200.000 kosten koper
        
            
        
","14-5-2021","
    Bestaande bouw
","
    1980
        
            
        
","
    61 m²
","
    9 m²
,
    4 m²
","
    200 m³
","
    200 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Blokverwarming
","
    Aan park, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"222","
        
              Nieuwstraat 2 c
        
            ","
            5241 CN Rosmalen

        ","
    € 450.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    2007
        
            
        
","
    114 m²
","
    11 m²
,
    7 m²
,
    5 m²
","
    400 m³
","
    400 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, HR-glas, muurisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    In centrum
","
    Balkon aanwezig
",NA,NA,"
    Vrijstaande stenen berging
"
"223","
        
              Charta 77-Vaart 21
        
            ","
            2033 BA Haarlem

        ","
    € 350.000 kosten koper
        
            
        
","13-5-2021","
    Bestaande bouw
","
    1988
        
            
        
","
    94 m²
","
    6 m²
","
    396 m³
","
    396 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, gedeeltelijk dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Cv-ketel
","
    Aan rustige weg, in woonwijk en vrij uitzicht
","
    Achtertuin
","
    64 m² (12,76 meter diep en 5,01 meter breed)
","
    Gelegen op het zuidoosten
","
    Vrijstaande houten berging
"
"224","
        
              Burgemeester Sandbergstraat 42
        
            ","
            2013 BS Haarlem

        ","
    € 495.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    1927
        
            
        
","
    103 m²
","
    9 m²
","
    310 m³
","
    310 m³
","
    3 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Dakterras aanwezig
",NA,NA,NA,"
    Parkeervergunningen
"
"225","
        
              Ternatestraat 63
        
            ","
            2022 BT Haarlem

        ","
    € 275.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    1927
        
            
        
","
    54 m²
","
    8 m²
,
    5 m²
","
    197 m³
","
    197 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In woonwijk
",NA,NA,NA,"
    Box
"
"226","
        
              Hudsonlaan 130
        
            ","
            5223 SL Den Bosch

        ","
    € 235.000 kosten koper
        
            
        
","11-5-2021","
    Bestaande bouw
","
    1962
        
            
        
","
    71 m²
","
    3 m²
,
    6 m²
","
    225 m³
","
    225 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    5 woonlagen
","
        D
            1,86
        
             Wat betekent dit?
","
    Dubbel glas
","
    Blokverwarming
","
    In woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"227","
        
              Meester Cornelisstraat 88 rd
        
            ","
            2023 DK Haarlem

        ","
    € 450.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    1929
        
            
        
","
    85 m²
","
    2 m²
,
    24 m²
","
    297 m³
","
    297 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1e woonlaag
","
        F
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg, in bosrijke omgeving en in woonwijk
","
    Zonneterras
","
    20 m² (4,56 meter diep en 5,75 meter breed)
","
    Gelegen op het zuiden
","
    Openbaar parkeren
"
"228","
        
              Peltenburgstraat 67
        
            ","
            2033 ES Haarlem

        ","
    € 550.000 kosten koper
        
            
        
","12-5-2021","
    Bestaande bouw
","
    2014
        
            
        
","
    100 m²
","
    12 m²
,
    16 m²
","
    318 m³
","
    318 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        A
        
             Wat betekent dit?
","
    Volledig geïsoleerd
","
    Cv-ketel
","
    Aan vaarwater, in centrum en vrij uitzicht
","
    Dakterras aanwezig en balkon aanwezig
",NA,NA,"
    Box
"
"229","
        
              Karel Doormanlaan 91
        
            ","
            3572 NK Utrecht

        ","
    € 450.000 kosten koper
        
            
        
","10-5-2021","
    Bestaande bouw
","
    1958
        
            
        
","
    98 m²
","
    6 m²
,
    13 m²
","
    343 m³
","
    343 m³
","
    4 kamers (3 slaapkamers)
","
    2 aparte toiletten
","
    1e woonlaag
","
        E
            2,09
        
             Wat betekent dit?
","
    Dubbel glas
","
    Stadsverwarming
","
    Balkon aanwezig
",NA,NA,NA,"
    Inpandig
"
"230","
        
              Hugo de Grootlaan 70
        
            ","
            5223 LC Den Bosch

        ","
    € 400.000 kosten koper
        
            
        
","5-5-2021","
    Bestaande bouw
","
    2002
        
            
        
","
    89 m²
","
    12 m²
,
    8 m²
","
    266 m³
","
    266 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    5 woonlagen
","
        B
        
             Wat betekent dit?
","
    Dakisolatie, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd
","
    Stadsverwarming
","
    Aan water, open ligging en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"231","
        
              Anna Paulownahof 102
        
            ","
            5038 VW Tilburg

        ","
    € 235.000 kosten koper
        
            
        
","4-5-2021","
    Bestaande bouw
","
    1989
        
            
        
","
    68 m²
","
    8 m²
,
    5 m²
","
    213 m³
","
    213 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
            1,60
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Balkon aanwezig
",NA,NA,NA,"
    Inpandig
"
"232","
        
              Vaartsestraat 7
        
            ","
            3511 TA Utrecht

        ","
    € 485.000 kosten koper
        
            
        
","6-5-2021","
    Bestaande bouw
","
    1995
        
            
        
","
    105 m²
","
    14 m²
,
    8 m²
","
    320 m³
","
    320 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    2 woonlagen
","
        A
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas en muurisolatie
","
    Warmte terugwininstallatie
","
    Inpandig
",NA,NA,NA,NA
"233","
        
              Plantage 129
        
            ","
            3551 DH Utrecht

        ","
    € 349.000 kosten koper
        
            
        
","5-5-2021","
    Bestaande bouw
","
    1996
        
            
        
","
    77 m²
","
    1 m²
,
    8 m²
,
    5 m²
","
    258 m³
","
    258 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Stadsverwarming
","
    Aan rustige weg en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"234","
        
              Professor Van der Scheerstraat 253
        
            ","
            2035 AP Haarlem

        ","
    € 335.000 kosten koper
        
            
        
","4-5-2021","
    Bestaande bouw
","
    1970
        
            
        
","
    102 m²
","
    12 m²
,
    5 m²
","
    326 m³
","
    326 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Blokverwarming
","
    In woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"235","
        
              Charta 77-Vaart 43
        
            ","
            2033 BB Haarlem

        ","
    € 295.000 kosten koper
        
            
        
","2-5-2021","
    Bestaande bouw
","
    1988
        
            
        
","
    92 m²
","
    10 m²
,
    4 m²
","
    274 m³
","
    274 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        C
        
             Wat betekent dit?
","
    Gedeeltelijk dubbel glas
","
    Cv-ketel
","
    Aan rustige weg, aan water en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
"236","
        
              Leonardo da Vinciplein 36
        
            ","
            5223 DR Den Bosch

        ","
    € 325.000 kosten koper
        
            
        
","2-5-2021","
    Bestaande bouw
","
    1993
        
            
        
","
    89 m²
","
    7 m²
","
    275 m³
","
    275 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer
","
    6e woonlaag
","
        C
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    In woonwijk
","
    Frans balkon aanwezig
",NA,NA,"
    Inpandig
"
"237","
        
              Drapenierstraat 2 zwart
        
            ","
            2011 WZ Haarlem

        ","
    € 350.000 kosten koper
        
            
        
","30-4-2021","
    Bestaande bouw
","
    1890
        
            
        
","
    53 m²
","","
    171 m³
","
    171 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer
","
    2 woonlagen
","
        G
        
             Wat betekent dit?
","
    Gedeeltelijk dubbel glas
","
    Gaskachels
","
    Aan rustige weg, in centrum en in woonwijk
","
    Patio/atrium
","
    3 m² (2,55 meter diep en 1,3 meter breed)
","
    Gelegen op het zuidwesten
","
    Betaald parkeren en parkeervergunningen
"
"238","
        
              IJsvogelhof 6
        
            ","
            3582 DJ Utrecht

        ","
    € 450.000 kosten koper
        
            
        
","3-5-2021","
    Bestaande bouw
","
    2002
        
            
        
","
    97 m²
","
    22 m²
","
    374 m³
","
    374 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer
","
    2 woonlagen
","
        A
        
             Wat betekent dit?
","
    Dubbel glas en volledig geïsoleerd
","
    Stadsverwarming
","
    Aan rustige weg en in woonwijk
","
    Patio/atrium en zonneterras
","
    Dakterras aanwezig
",NA,"
    Inpandig
"
"239","
        
              Borneostraat 44 bis
        
            ","
            3531 PH Utrecht

        ","
    € 350.000 kosten koper
        
            
        
","29-4-2021","
    Bestaande bouw
","
    1900
        
            
        
","
    60 m²
","
    9 m²
,
    6 m²
","
    245 m³
","
    245 m³
","
    5 kamers (3 slaapkamers)
","
    1 badkamer
","
    3 woonlagen
","
        D
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    In centrum en in woonwijk
","
    Balkon aanwezig
",NA,NA,"
    Betaald parkeren en parkeervergunningen
"
"240","
        
              Van Nouhuysstraat 33 A
        
            ","
            2024 KT Haarlem

        ","
    € 300.000 kosten koper
        
            
        
","29-4-2021","
    Bestaande bouw
","
    1955
        
            
        
","
    64 m²
","","
    205 m³
","
    205 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1 woonlaag
","
        D
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    Aan rustige weg en in woonwijk
","
    Achtertuin
","
    15 m² (3,03 meter diep en 5,1 meter breed)
","
    Gelegen op het westen bereikbaar via achterom
","
    Aangebouwde stenen berging
"
"241","
        
              Pauwstraat 26
        
            ","
            3512 TG Utrecht

        ","
    € 195.000 kosten koper
        
            
        
","29-4-2021","
    Bestaande bouw
","
    1978
        
            
        
","
    25 m²
","","
    83 m³
","
    83 m³
","
    1 kamer (1 slaapkamer)
","
    1 badkamer
","
    1 woonlaag
","
        B
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel
","
    In centrum
",NA,NA,NA,"
    Parkeervergunningen
"
"242","
        
              Spaarnwouderstraat 54 rd
        
            ","
            2011 AE Haarlem

        ","
    € 469.000 kosten koper
        
            
        
","28-4-2021","
    Bestaande bouw
","
    1890
        
            
        
","
    92 m²
","
    8 m²
","
    336 m³
","
    336 m³
","
    4 kamers (3 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    1e woonlaag
","
        G
        
             Wat betekent dit?
","
    Dubbel glas
","
    Cv-ketel en open haard
","
    Aan rustige weg, in centrum en in woonwijk
","
    Zonneterras
","
    8 m² (4,15 meter diep en 2 meter breed)
","
    Gelegen op het zuiden
","
    Openbaar parkeren en parkeervergunningen
"
"243","
        
              Gerhardstraat 45
        
            ","
            3555 WK Utrecht

        ","
    € 310.000 kosten koper
        
            
        
","29-4-2021","
    Bestaande bouw
","
    2007
        
            
        
","
    78 m²
","
    9 m²
,
    4 m²
","
    253 m³
","
    253 m³
","
    3 kamers (2 slaapkamers)
","
    1 badkamer en 1 apart toilet
","
    4e woonlaag
","
        A+
        
             Wat betekent dit?
","
    Dakisolatie, dubbel glas, muurisolatie en vloerisolatie
","
    Cv-ketel
","
    In woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Box
"
"244","
        
              Professor Cobbenhagenlaan 182
        
            ","
            5037 DD Tilburg

        ","
    € 200.000 kosten koper
        
            
        
","27-4-2021","
    Bestaande bouw
","
    1962
        
            
        
","
    70 m²
","
    4 m²
,
    6 m²
","
    230 m³
","
    230 m³
","
    2 kamers (1 slaapkamer)
","
    1 badkamer
","
    6 woonlagen
","
        E
        
             Wat betekent dit?
","
    Dubbel glas
","
    Stadsverwarming
","
    Aan park, in woonwijk en vrij uitzicht
","
    Balkon aanwezig
",NA,NA,"
    Inpandig
"
